date,description,amount,paid_by,split_type,splits
2024-03-01,March Electricity,₹3600,Aisha,equal,
2024-03-05,Groceries March,₹1200,Priya,exact,"300;250;200;450"
2024-03-10,Internet Bill,₹900,Rohan,equal,
2024-03-15,US Trip Dinner,$90,Dev,equal,
2024-03-20,March Electricity,₹3600,Aisha,equal,
2024-04-01,April Rent,₹48000,Meera,equal,
2024-04-10,Cooking Gas,₹800,Priya,equal,
15/04/2024,Groceries April,₹1500,Sam,equal,
03-22-2024,Housewarming Party,₹5000,Rohan,equal,"1200;1000;900;800;600"
2024-04-20,Dev Laptop Charger,$45,Dev,equal,
2024-04-25,Sam Monthly Share,₹6000,Sam,equal,
2024-04-30,Group Dinner,₹2300,Rohan,equal,
2024-04-30,Group Dinner,₹2100,Rohan,equal,
2024-05-01,,₹400,Aisha,equal,
2024-05-03,Water Cans,N/A,Priya,equal,
2024-05-10,Maid Salary,₹3000,,equal,
2024-05-15,Electricity May,₹3800,Unknown Person,equal,
2024-05-20,Online Grocery,-₹500,Meera,equal,
2024-05-25,US Trip Hotel,$-200,Dev,equal,
March 1 2024,March Gym Membership,₹2400,Sam,equal,
